Station Name,Measurement Timestamp,Air Temperature,Wind Speed,Barometric Pressure
63rd Street Weather Station,04/25/2015 09:00:00 AM,7.00,5.1,986.1
63rd Street Weather Station,04/30/2015 05:00:00 AM,6.10,7.2,989.9
63rd Street Weather Station,06/22/2015 09:00:00 AM,25.40,2.3,989.9
63rd Street Weather Station,06/22/2015 10:00:00 AM,26.40,5.6,990.9
63rd Street Weather Station,06/22/2015 11:00:00 AM,25.90,2.1,990.5
63rd Street Weather Station,06/22/2015 12:00:00 PM,26.00,4.5,992.4
63rd Street Weather Station,06/22/2015 01:00:00 PM,24.70,0.7,990.0
63rd Street Weather Station,06/22/2015 02:00:00 PM,26.20,3.7,988.0
63rd Street Weather Station,06/22/2015 03:00:00 PM,27.60,6.0,985.2
63rd Street Weather Station,06/22/2015 04:00:00 PM,27.70,5.5,984.1
63rd Street Weather Station,06/22/2015 05:00:00 PM,28.60,6.6,984.7
63rd Street Weather Station,06/22/2015 06:00:00 PM,28.80,6.2,983.7
63rd Street Weather Station,06/22/2015 07:00:00 PM,29.20,4.4,984.9
63rd Street Weather Station,06/22/2015 08:00:00 PM,29.10,4.9,984.8
63rd Street Weather Station,06/22/2015 09:00:00 PM,28.80,4.1,985.2
63rd Street Weather Station,06/22/2015 10:00:00 PM,28.90,6.3,984.8
63rd Street Weather Station,06/22/2015 11:00:00 PM,26.20,8.9,985.1
63rd Street Weather Station,06/23/2015 01:00:00 AM,24.80,3.2,986.9
63rd Street Weather Station,06/23/2015 02:00:00 AM,25.00,2.2,987.0
63rd Street Weather Station,06/23/2015 03:00:00 AM,24.70,1.5,988.1
63rd Street Weather Station,06/23/2015 04:00:00 AM,24.80,3.4,988.8
63rd Street Weather Station,06/23/2015 05:00:00 AM,21.40,3.9,989.9
63rd Street Weather Station,06/23/2015 06:00:00 AM,19.90,3.4,991.1
63rd Street Weather Station,06/23/2015 07:00:00 AM,20.70,3.3,992.0
63rd Street Weather Station,06/23/2015 08:00:00 AM,19.90,4.3,992.9
63rd Street Weather Station,06/23/2015 09:00:00 AM,20.30,3.6,994.2
63rd Street Weather Station,06/23/2015 10:00:00 AM,18.50,4.8,994.9
63rd Street Weather Station,06/23/2015 11:00:00 AM,18.50,3.4,995.3
63rd Street Weather Station,06/23/2015 12:00:00 PM,18.70,3.1,995.9
63rd Street Weather Station,06/23/2015 01:00:00 PM,18.70,0.6,996.0
63rd Street Weather Station,06/23/2015 02:00:00 PM,19.60,0.0,995.8
63rd Street Weather Station,06/23/2015 03:00:00 PM,19.60,0.9,996.0
63rd Street Weather Station,06/23/2015 04:00:00 PM,19.20,0.6,995.9
63rd Street Weather Station,06/23/2015 05:00:00 PM,19.20,0.5,995.8
63rd Street Weather Station,06/23/2015 06:00:00 PM,19.20,0.0,996.3
63rd Street Weather Station,06/23/2015 07:00:00 PM,18.60,2.1,996.6
63rd Street Weather Station,06/23/2015 08:00:00 PM,18.00,0.7,996.5
63rd Street Weather Station,06/23/2015 09:00:00 PM,17.70,0.0,996.3
63rd Street Weather Station,06/23/2015 10:00:00 PM,18.20,0.9,996.8
63rd Street Weather Station,06/23/2015 11:00:00 PM,18.30,0.5,997.0
63rd Street Weather Station,06/23/2015 12:00:00 AM,24.50,3.3,986.6
63rd Street Weather Station,06/24/2015 01:00:00 AM,17.50,0.8,996.3
63rd Street Weather Station,06/24/2015 02:00:00 AM,17.70,0.0,997.1
63rd Street Weather Station,06/24/2015 03:00:00 AM,18.00,0.3,997.4
63rd Street Weather Station,06/24/2015 04:00:00 AM,18.20,1.0,997.8
63rd Street Weather Station,06/24/2015 05:00:00 AM,19.00,2.8,998.4
63rd Street Weather Station,06/24/2015 06:00:00 AM,19.20,1.4,998.5
